test_id,question_id,teks
stress,10,Seberapa sering Anda merasa bahwa kendala sangat besar hingga Anda tidak bisa mengatasinya?

trauma,1,Seberapa sering Anda mengalami mimpi buruk yang mengulang kembali kejadian traumatis tersebut?
trauma,2,Seberapa sering muncul ingatan kuat yang tiba-tiba sehingga Anda merasa kejadian itu terjadi lagi?
trauma,3,Seberapa sering Anda berusaha menghindari pikiran atau sensasi fisik yang mengingatkan pada kejadian itu?
trauma,4,"Seberapa sering Anda menghindari orang, tempat, atau situasi yang mengingatkan pada kejadian tersebut?"
trauma,5,"Seberapa sering Anda merasa sangat waspada, siaga, atau terus-menerus berjaga-jaga?"
trauma,6,"Seberapa sering Anda merasa gelisah, mudah terkejut, atau merasa kaget secara berlebihan?"
trauma,7,Seberapa sering gejala ini mengganggu hubungan sosial atau kehidupan pergaulan Anda?
trauma,8,Seberapa sering gejala ini menghambat produktivitas atau kemampuan Anda dalam bekerja?
trauma,9,"Seberapa sering gejala ini memengaruhi aktivitas penting lainnya (kuliah, sekolah, atau pengasuhan)?"

burnout,1,Seberapa sering Anda merasa emosi Anda terkuras karena pekerjaan?
burnout,2,Seberapa sering Anda merasa lelah secara fisik dan mental saat bangun pagi?
burnout,3,Seberapa sering Anda merasa bekerja terlalu keras melampaui batas energi Anda?
burnout,4,Seberapa sering Anda merasa frustrasi atau muak dengan pekerjaan saat ini?
burnout,5,Seberapa sering Anda merasa tidak peduli atau bersikap sinis terhadap rekan kerja?
burnout,6,Seberapa sering Anda merasa ingin menjauh dari orang-orang di tempat kerja?
burnout,7,Seberapa sering Anda merasa kehilangan semangat dalam mencapai target kerja?
burnout,8,Seberapa sering Anda merasa pekerjaan Anda tidak memberikan dampak positif bagi orang lain?
burnout,9,Seberapa sering Anda merasa gagal mengatasi masalah emosional di tempat kerja?
burnout,10,Seberapa sering Anda merasa sudah tidak sanggup lagi menghadapi tekanan pekerjaan?

mood,1,Seberapa sering suasana hati (mood) Anda berubah-ubah secara tiba-tiba?
mood,2,Seberapa sering Anda merasa sangat bersemangat hingga sulit untuk diam?
mood,3,Seberapa sering Anda merasa sangat sedih tanpa alasan yang jelas?
mood,4,Seberapa sering Anda merasa mudah tersinggung oleh hal-hal kecil?
mood,5,Seberapa sering Anda merasa pikiran Anda berjalan terlalu cepat sehingga sulit fokus?
mood,6,Seberapa sering Anda merasa emosi Anda sulit dikendalikan (misal: tiba-tiba marah/menangis)?
mood,7,Seberapa sering Anda merasa hampa atau mati rasa secara emosional?

kecanduan,1,Seberapa sering Anda menghabiskan waktu lebih lama dari yang direncanakan pada kebiasaan tersebut?
kecanduan,2,Seberapa sering Anda merasa gagal saat mencoba mengurangi atau menghentikan kebiasaan tersebut?
kecanduan,3,Seberapa sering Anda merasa gelisah atau mudah marah jika dilarang melakukan kebiasaan tersebut?
kecanduan,4,Seberapa sering Anda mengabaikan tugas (sekolah/kerja) demi melakukan kebiasaan tersebut?
kecanduan,5,Seberapa sering Anda tetap melakukan kebiasaan tersebut meski tahu itu berdampak buruk bagi kesehatan/hubungan?
kecanduan,6,Seberapa sering Anda berbohong kepada orang lain untuk menyembunyikan seberapa sering Anda melakukannya?
kecanduan,7,Seberapa sering Anda merasa pikiran Anda terus-menerus tertuju pada kebiasaan tersebut saat sedang melakukan hal lain?
kecanduan,8,Seberapa sering Anda merasa kebiasaan tersebut adalah satu-satunya cara untuk melarikan diri dari masalah?
